Affinity
Compaq
Naxa
Acer
Admiral
Admiral Overseas Corporation (AOC)
Advent
Adyson
AGA
Agath
Agrexsione
Airis
Aiwa
Akai
Akari
Akurra
Alba (Harvard)
Amplivision
Amstrad
Andrea Electronics
Anitech
Apex Digital
Arcam
Arena
Argosy Radiovision
Arise India
Asianet Digital LED TV
Astor
Asuka
Atlantic
Atwater Television
Audar
Audiovox
Automatic Radio Manufacturing
AVEL
AVol
AWA
Bace Television
Baird
Bang & Olufsen
Baumann Meyer
Beko
Bell Television
BelTek Tv
BenQ
Beon
Bharat
Binatone
BiSA
Bitova electronika
Blaupunkt
BLUE Edge
Blue Sky
Blue Star
boj
Bondstec
BOSE
BPL india lmt
Brandt
Brionvega
Britannia
Broksonic
BSR
Bush
Caixun
Calbest Electronics
Candle
Capehart Electronics
Carrefour
Cascade
Cathay
Cello Electronics
Cenfonix
Centurion
Certified Radio Labs
CGE
Changhong
ChiMei
Cimline
Citizen
Clairetone Electric Corporation
Clarivox
Clatronic
CloudWalker[3]
Coby
Colonial Radio (Sylvania)
Color Electronics Corporation
Compal Electronics[4][5]
Conar Instruments
Condor
Conrac (Germany)
Conrac (Monitors)
Contec
Continental Edison
Cortron Industries (Hoffman)
Cossor
Craig
Crown
Crystal
CS Electronics
CTC
Curtis Mathes Corporation
Cybertron
Daewoo
Dainichi
Damro
Dansai
Dayton
De Graaf
Decca
Deccacolour (UK)
Defiant
Dell
Delmonico International Corporation
Diamond Vision
Diboss
Digihome
Dixi
Dual
Dual Tec
Dumont
DuMont Laboratories
Durabrand
Dyanora (India)
Dynatron
Dynex
Edler
EKCO
Elbe
Electrohome
Electron
Electronics Corp. (ECTV India)
Element
Elin
Elite
Elta
Emerson
Emerson
EMI
English Electric
English Electric Valve Company
Erres
Expert
Farnsworth
Ferguson Electronics
Ferranti
Fidelity Radio
Finlandia
Finlux (Vestel)
FIRST
Firstline
Fisher Electronics
Fleetwood (CONRAC)
Flint
Formenti
Frontech
Fujitsu
Funai
GC
Geloso
Geloso
Gene's TV
General Electric
General Electric Company
General Gold
Genexxa
GoldStar
Goodmans Industries
Gorenje
GPM
Gradiente
Graetz
Granada
Grandin
Grundig
Haier
Hallicrafters
Hannspree
Hanseatic
Hantarex
Harvard International
Harvey Industries
Haver Electric
HCM
Healing
Heath Company/Heathkit
Helkama
Helvar
Hesstar
Hinari Domestic Applicanes
Hisawa
Hisense
Hitachi
HKC
HMV
Hoffman Television (Cortron Ind)
Horizont
Howard Radio (Muntz)
Huanyu
Hypson
Ice
Ices
Imperial
INB
Indiana
Inelec[6]
Ingelen
Inno Hit
Innovex
Insignia
Interfunk
Intervision
Isukai
ITS
ITT Corporation
ITT-KB (UK)
ITT-SEL (Germany)
IZUMI
Jensen Loudspeakers
JMB
Joyeux
JVC
Kaisui
Kamacrown
Kane Electronics Corporation
Kapsch
Kathrein
Kendo
Kenmore
Kent Television
Khind
Kingsley
KIVI (Ukraine)
Kloss Video
Kneissel
Kogan
Kolster-Brandes
Konka
Korpel
Koyoda
Kreisler
KTC
Lanix
Le.com
Leyco
LG
"LG Electronics (founded as GoldStar, name changed 1995)"
Liesenkötter
Linsar
LLoyd's
Loewe
Luma
Luxor
M Electronic
Magnadyne
Magnafon
Magnasonic
Magnavox
Magnavox (subsidiary of Philips)
Maneth
Marantz
Marconiphone
Mark
Matsui
Mattison Electronics
McMichael Radio
Mediator (brand name owned by Philips)
Memorex
Mercury-Pacific
Metz
Mi TV
Micromax
Minerva
Minoka
Mirc Electronics (Onida brand; India)
Mitsubishi
Mivar
Mobile360 Tv
Motorola
"MT Logic (related to Multitech, brand name only)"
MTC
Multitech (brand name only)
Muntz (Howard Radio)
Murphy Radio
NASCO ELECTRONICS
NEC
Neckermann
NEI
Nelco
NEOS
NetTV
Nikkai
Nobliko
Nokia
Nordmende
North American Audio
Oceanic
oCosmo
OK tv
Olevia
Olympic Radio and Television
One
OnePlus
Onida
Onwa
Orion (Hungary)
Orion (Japan)
Osaki
Oso
Osume
Otake
Otto Versand
Pacific Technology
"Packard Bell, Teledyne Packard Bell"
Palladium
Panama
Panasonic
Pathe Cinema
Pathe Marconi
Pausa
PDI Communication Systems[7]
Pensonic
Perdio
Peto Scott
Philco (Philco-Ford)
Philips
Philmore Manufacturing
Phonola
Pilot Radio
Pilot Radio Corporation (Jerrold Electronics)
Pioneer
Planar Systems
Polar
Polaroid
Prima
Privé
Profex
Profilo Holding (brand Telefunken)
ProLine
ProScan
ProTech
Pulser (own by Canadian tire)
Pye
Pyle
PyxScape
Quasar
Quelle
Questa
R-Line
Radiola
"Radiola (France, owned by Philips)"
RadioMarelli
RadioShack
Rank Arena
Rauland Borg
Ravenswood
RBM
RCA
RCA (HKC
Realistic
Rediffusion
Regentone
REI
Revox
Rex
RFT (Stassfurt plant)
RGD (Radio Gramaphone Development Company)
Roadstar
Rolls
Rolsen Electronics
Rubin
SABA
Saccs
Saisho
Salora
Salora International
Sambers
Sampo Corp. of America
Samsung
Sanabria Television Corporation
Sandra
Sansui
Sanyo
SBR
Sceptre
Schaub Lorenz
Schneider
Schneider
Schneider Electric
Sears (Silvertone)
SEG
SEI
Sei-Sinudyne
Seiki Digital
Selco (India)
Sèleco
Sentra
Setchell Carlson
Seura
Sharp
Shinco
Shorai
Siarem
Siemens
Silo Digital
Silvertone
Sinudyne
Skywalker
Skyworth
Sobell[9][10]
Softlogic
Solavox
Soniq
Sonitron
Sonodyne
Sonoko
Sonolor
Sonora
Sontec
Sony
Soundwave
Soyo
Sparc
Stern-Radio Staßfurt
Stewart-Warner
Stromberg Carlson
Sunkai
SunLite TV
Supersonic
Supra
Susumu
Sylvania
Symphonic Electronic Corp
Symphonic Radio and Electronics
Sysline
Tandy
Tatung Company
TCL
Tec
Tech-Master
Technema
Technics
Technika
Technika TV
Technisat
Tecnimagen
TECO
Teleavia
Telebalt
Telefunken
Telemeister
Telequip
Teletech
Teleton
Teletronics
"Television, Inc."
Temp
Tensai
Texet
Thomson SA
Thorn Electrical Industries
Thorn EMI
TMA
Tomashi
Toshiba
TP Vision
TPV Technology
Transvision
Trav-Ler Radop
Travelers Electronics Co.
Trinium Electronics Philippines
Triumph
Uher
Ultra
Ultravox
Unitech
United States Television Manufacturing Corp.
Universum
Upstar
V WORLD
Veon
Vestel
Videocon
Videosat
Videotechnic
Videoton
Viewsonic
Vision
Vistron
Vizio
Vu
Walton
Warwick
Watson
Watt Radio
Wells-Gardner
Westinghouse
Westinghouse Digital
Weston Electronics
White-Westinghouse
Witjas
Wybor
X2GEN
Xiaomi
Yamazen
Yara
YC
Yoko
Zanussi
Zenith Radio
Zonda
